"sitename","siteid","datasetid","altitude","longitude","latitude"
"Leonard Rockshelter",10360,15759,1266,-118.49,40
"Lily Lake",10361,15760,2047,-120.21177,41.97585
"Lily Lake",10361,15762,2047,-120.21177,41.97585
"Lily Pond",10362,15763,303,-72.34884,42.41642
"Lily Pond",10362,15764,303,-72.34884,42.41642
"Lilypad Lake",10363,15765,1982,-118.99583,36.98158
"Lilypad Lake",10363,15766,1982,-118.99583,36.98158
"Lost Lake",10364,15767,452,-123.581,45.822
"Lost Lake",10364,15768,452,-123.581,45.822
"Martens Slough (PL-77-20)",10366,15771,511,-106.5224,52.0174
"Martens Slough (PL-77-20)",10366,15772,511,-106.5224,52.0174
"McMurray Lake",10368,15775,1778,-120.65033,39.4591
"McMurray Lake",10368,15776,1778,-120.65033,39.4591
"Mono Lake",10369,15777,1945,-119.149,37.9419
"Mono Lake",10369,15778,1945,-119.149,37.9419
"Moraine Bog",10370,15779,891,-124.98,51.31
"Moraine Bog",10370,15781,891,-124.98,51.31
"Moraine Lake",10371,15782,30,-125.28,71.75
"Moraine Lake",10371,15783,30,-125.28,71.75
"Stewert Point Pond",10372,15784,220,-121.1,72.009
"Stewert Point Pond",10372,15785,220,-121.1,72.009
"Caribou Lake (MS-74-15)",10374,15788,120,-120.453,73.4658
"Caribou Lake (MS-74-15)",10374,15789,120,-120.453,73.4658
"Roulston Lake (MS-78-15)",10376,15792,151,-67.4015,46.89286
"Roulston Lake (MS-78-15)",10376,15793,151,-67.4015,46.89286
"Le Bassin site",10377,15794,1,-61.91792,47.22014
"Blomidon Section MS-89-16",10378,15795,23,-64.3785,45.219
"Blomidon Section MS-89-16",10378,15796,23,-64.3785,45.219
"Site 88 (Swain unpublished)",158,158,473,-74.13,43.97
"Lake Sixteen",1540,1580,216,-84.31667,45.6
"Nutella Lake",10385,15809,931,-147.39172,63.052
"Lake 27",1541,1581,411,-84.78333,45.06667
"Nutella Lake",10385,15811,931,-147.39172,63.052
"Swampbuggy Lake",10386,15812,813,-147.426,63.052
"Swampbuggy Lake",10386,15814,813,-147.426,63.052
"Porcupine Mountain",10388,15817,640,-102.0434,52.235
"Porcupine Mountain",10388,15819,640,-102.0434,52.235
"Lake 31",1542,1582,115,-50.46667,67.05
"Prospect Hill II",10389,15820,300,-72.2,42.545
"Prospect Hill VII",10390,15821,300,-72.2,42.545
"Pascagoula Marsh",10392,15824,0,-88.604,30.382
"Pascagoula Marsh",10392,15825,0,-88.604,30.382
"Rock Lake",10393,15826,236,-150.2566,60.4518
"Rock Lake",10393,15827,236,-150.2566,60.4518
"Robinson Lake",10394,15828,170,-64.26654,63.39458
"Robinson Lake",10394,15829,170,-64.26654,63.39458
"Lake A",1543,1583,440,-105.725,53.2375
"Sandy Run Creek",10395,15830,80,-83.107,32.555
"Sandy Run Creek",10395,15831,80,-83.107,32.555
"Lake Ann",1544,1584,291,-93.69945,45.41613
"Sheep Mountain Bog",10399,15855,1920,-113.79265,46.95179
"Slab City",10400,15856,270,-72.185,42.492
"Slab City",10400,15857,270,-72.185,42.492
"Lake B",1546,1586,553,-106.07917,53.8
"Swan Lake",10402,15860,303,-79.4156,43.9498
"Swan Lake",10405,15863,0,-97.1924,28.02638
"Swan Lake",10405,15864,0,-97.1924,28.02638
"Tannersville Bog",2536,15865,277,-75.27217,41.03345
"Tannersville Bog",2536,15866,277,-75.27217,41.03345
"Testalinden Lake",10407,15869,1807,-119.678,49.11886
"Lake BN7",1547,1587,395,-73.51667,55.00917
"Testalinden Lake",10407,15870,1807,-119.678,49.11886
"Top Lake",10408,15871,33,-130.94579,54.475
"Top Lake",10408,15872,33,-130.94579,54.475
"Tulare Lake",10410,15875,55,-119.96,35.935
"Tulare Lake",10410,15876,55,-119.96,35.935
"Tumalo Lake",10411,15877,1543,-121.546,44.021
"Tumalo Lake",10411,15878,1543,-121.546,44.021
"Fish Lake",10263,15879,2248,-118.64725,42.7369
"Lake Carlson",1548,1588,254,-93.1617,44.7988
"Warner Lake",10412,15880,304,-92.0436,46.1173
"Warner Lake",10412,15882,304,-92.0436,46.1173
"Crystal Lake",10413,15883,273,-88.36972,42.23053
"Crystal Lake",10413,15885,273,-88.36972,42.23053
"Crystal Lake",10413,15886,273,-88.36972,42.23053
"Weeks Bay",10414,15888,0,-87.83895,30.40486
"Weeks Bay",10414,15889,0,-87.83895,30.40486
"Lake CH2",1549,1589,830,-74.58333,49.68333
"White Lake",10415,15890,138,-74.91894,40.997
"White Lake",10415,15892,138,-74.91894,40.997
"Wildcat Lake",10416,15893,340,-118.15979,46.72671
"Wildhorse Lake",10417,15894,2576,-118.59046,42.62734
"Site 89 (Swain unpublished)",159,159,47,-73.78,42.93
"Lake CH2",1549,1590,830,-74.58333,49.68333
"Woods Lake",10421,15901,2,-127.27054,51.00367
"Woods Lake",10421,15902,2,-127.27054,51.00367
"Divers Lake",10422,15903,239,-78.40148,43.0402
"Divers Lake",10422,15904,239,-78.40148,43.0402
"Ballston Lake",10424,15907,76,-73.8584,42.9429
"Ballston Lake",10424,15909,76,-73.8584,42.9429
"Lake EC1",1550,1591,250,-75.1,56.28333
"Allen Lake",10427,15914,526,-89.17654,46.2203
"Kerr Lake",10428,15915,524,-89.27745,46.2426
"Kerr Lake",10428,15916,524,-89.27745,46.2426
"Crooked Lake",10429,15918,519,-89.29748,46.2435
"Crooked Lake",10429,15919,519,-89.29748,46.2435
"Lake EC2",1551,1592,300,-74.945,56.02333
"Jay Lake",10430,15920,544,-89.2827,46.2334
"Jay Lake",10430,15922,544,-89.2827,46.2334
"Lake O' Pines",10431,15923,514,-89.257,46.13937
"Lake O' Pines",10431,15925,514,-89.257,46.13937
"Hiscock Site",5803,15928,189,-78,43
"Hiscock Site",5803,15929,189,-78,43
"Green Pond",10433,15930,80,-72.5127,42.5656
"Green Pond",10433,15931,80,-72.5127,42.5656
"Lily Warwick",10434,15932,269,-72.33808,42.68782
"Lily Warwick",10434,15933,269,-72.33808,42.68782
"Little Mirror Lake",10435,15934,73,-71.61024,42.52332
"Little Mirror Lake",10435,15935,73,-71.61024,42.52332
"SRM-1",10436,15936,0,-81.11444,25.35278
"SRM-1",10436,15937,0,-81.11444,25.35278
"SRM-1",10436,15938,0,-81.11444,25.35278
"SRM-1",10436,15939,0,-81.11444,25.35278
"Lake GB1",1553,1594,325,-75.24889,55.11083
"Otter Pond",10437,15941,107,-72.53541,42.65364
"Otter Pond",10437,15942,107,-72.53541,42.65364
"Silver Lake",10438,15943,161,-72.23015,42.5992
"Silver Lake",10438,15944,161,-72.23015,42.5992
"Larix laricina Site 4",10439,15945,170,-76.3425,57.60361
"Larix laricina Site 4",10439,15947,170,-76.3425,57.60361
"Larix laricina Site 5",10440,15948,170,-76.3425,57.60361
"Lake GB2",1554,1595,300,-75.28333,56.1
"Larix laricina Site 5",10440,15950,170,-76.3425,57.60361
"Larix laricina Site 10",10441,15951,280,-73.40515,57.60569
"Larix laricina Site 10",10441,15952,280,-73.40515,57.60569
"Lake Hall",1555,1596,40,-84.24917,30.52194
"Bakken Lake",10446,15962,354,-96.2341,47.6886
"Chicog Lake",10447,15963,357,-96.1848,47.668
"Qually Pond",10448,15964,354,-96.20608,47.6813
"Qually Pond",10448,15965,354,-96.20608,47.6813
"Stoneman Lake",10449,15966,2047,-111.52408,34.77379
"Stoneman Lake",10449,15967,2047,-111.52408,34.77379
"Farewell Lake",10450,15968,320,-153.66508,62.55151
"Lake Hall",1555,1597,40,-84.24917,30.52194
"Farewell Lake",10450,15970,320,-153.66508,62.55151
"Grandfather Lake",10453,15975,142,-158.5532,59.7939
"Grandfather Lake",10453,15976,142,-158.5532,59.7939
"Ongivinuk Lake",10455,15979,163,-159.37703,59.56277
"Lake LB1",1556,1598,200,-75.61667,57.91667
"Ongivinuk Lake",10455,15980,163,-159.37703,59.56277
"Mayflower Lake",10456,15981,189,-79.21917,45.38833
"Mayflower Lake",10456,15982,189,-79.21917,45.38833
"Itasca Bison Kill Site",10457,15985,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15986,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15987,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15989,447,-95.2431,47.1887
"Lake LR1",1557,1599,170,-75.25,58.58333
"Itasca Bison Kill Site",10457,15990,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15992,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15995,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15996,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15998,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,15999,447,-95.2431,47.1887
"Site 90 (Swain unpublished)",160,160,518,-74.03,44.52
"Lake LR3",1558,1600,160,-75.245,58.57833
"Itasca Bison Kill Site",10457,16000,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,16002,447,-95.2431,47.1887
"Itasca Bison Kill Site",10457,16003,447,-95.2431,47.1887
"Pigeon Marsh",10461,16008,660,-85.40174,34.66311
"Pigeon Marsh",10461,16009,660,-85.40174,34.66311
"Lake LR3",1558,1601,160,-75.245,58.57833
"Torren's Bog",10463,16012,302,-82.4803,40.35
"Clear Lake",10464,16013,404,-122.91573,38.91722
"Clear Lake",10464,16014,404,-122.91573,38.91722
"Secret Valley Marsh",10465,16015,1359,-120.2745,40.5619
"Secret Valley Marsh",10465,16016,1359,-120.2745,40.5619
"Lake LT1",1559,1602,150,-75.15,58.14167
"Lake LT1",1559,1603,150,-75.15,58.14167
"Lake PWWL",1560,1604,110,-98.53889,73.59139
"Lower Lake",10469,16046,228,-123.30533,38.58958
"Lake QC",1561,1605,333,-80.69833,46.82833
"Little Willow Lake",10473,16053,1829,-121.39227,40.40972
"Little Willow Lake",10473,16054,1829,-121.39227,40.40972
"Lake QC",1561,1606,333,-80.69833,46.82833
"Cedar Lake",10476,16060,1737,-122.4984,41.20586
"Cedar Lake",10476,16061,1737,-122.4984,41.20586
"Elkhorn Slough",10477,16062,0,-121.7895,36.8056
"Elkhorn Slough",10477,16063,0,-121.7895,36.8056
"CA-HUM-558 (Pilot Ridge)",10478,16064,1250,-123.6876,40.6539
"CA-HUM-558 (Pilot Ridge)",10478,16065,1250,-123.6876,40.6539
"Preston Lake",10480,16068,264,-123.01631,38.84957
"Preston Lake",10480,16069,264,-123.01631,38.84957
"Lake Six",1562,1607,305,-81.31667,48.4
"Taylor Marsh",10481,16070,1896,-120.0645,38.9339
"Taylor Marsh",10481,16071,1896,-120.0645,38.9339
"Tule Lake",10482,16072,1340,-123.03632,39.48917
"Tule Lake",10482,16073,1340,-123.03632,39.48917
"Grass Lake",10483,16074,1537,-122.1965,41.6343
"Grass Lake",10483,16075,1537,-122.1965,41.6343
"Bradshaw Lake peat section",10484,16076,215,-95.19639,57.75917
"Bradshaw Lake peat section",10484,16077,215,-95.19639,57.75917
"Brier Island Bog MS-85-22",10485,16078,15,-66.39472,44.22972
"Brier Island Bog MS-85-22",10485,16079,15,-66.39472,44.22972
"Chance Harbour Lake",10486,16080,5,-62.61486,45.66757
"Chance Harbour Lake",10486,16081,5,-62.61486,45.66757
"Lost Moose Core 128",10487,16082,110,-94.31667,57.53361
"Lost Moose Core 128",10487,16083,110,-94.31667,57.53361
"Island Lake",10488,16084,264,-66.184,47.8289
"Island Lake",10488,16086,264,-66.184,47.8289
"Lamb Lake",1564,1609,378,-92.10722,48.16528
"Cook Bank",10493,16094,0,-128.43,50.95
"Cook Bank",10493,16096,0,-128.43,50.95
"Logan Inlet",10494,16097,0,-131.72528,52.7725
"Logan Inlet",10494,16099,0,-131.72528,52.7725
"Site 91 (Swain unpublished)",161,161,491,-73.75,44.15
"Juan Perez Sound",10495,16100,0,-131.50477,52.44771
"Juan Perez Sound",10495,16101,0,-131.50477,52.44771
"Pye Lake",10496,16102,9,-62.09501,44.97306
"Pye Lake",10496,16103,9,-62.09501,44.97306
"Silcox Core 52",10497,16104,135,-94.19861,57.19944
"Silcox Core 52",10497,16105,135,-94.19861,57.19944
"Thibaudeau",10498,16106,125,-94.18917,57.075
"Thibaudeau",10498,16107,125,-94.18917,57.075
"Patricia Bay Lake",10499,16108,11,-68.51833,70.45722
"Patricia Bay Lake",10499,16109,11,-68.51833,70.45722
"L'Anse aux Meadows Site",1566,1611,5,-55.55,51.57333
"Grays Lake",10500,16110,1195,-111.5001,42.9908
"Grays Lake",10500,16111,1195,-111.5001,42.9908
"Grays Lake",10500,16112,1195,-111.5001,42.9908
"Grays Lake",10500,16113,1195,-111.5001,42.9908
"Los Penasquitos Lagoon",10501,16114,0,-117.26008,32.92722
"Los Penasquitos Lagoon",10501,16115,0,-117.26008,32.92722
"Crawford Lake",507,16122,278,-79.94957,43.46707
"Crawford Lake",507,16124,278,-79.94957,43.46707
"Twiss Marl Pond",10505,16125,256,-79.95654,43.44004
"Twiss Marl Pond",10505,16127,256,-79.95654,43.44004
"Lima Bog",10506,16128,302,-88.8579,42.7776
"Lima Bog",10506,16129,302,-88.8579,42.7776
"Langdale Pond",1568,1613,58,-83.195,30.64167
"Mission Cross Bog",10507,16130,2424,-115.4879,41.7816
"Mission Cross Bog",10507,16131,2424,-115.4879,41.7816
"Ruby Marsh",10508,16132,1818,-115.518,41.1294
"Ruby Marsh",10508,16133,1818,-115.518,41.1294
"Awl Site midden",10509,16134,960,-116.63333,35.51667
"Awl Site midden",10509,16135,960,-116.63333,35.51667
"Awl Site midden",10509,16136,960,-116.63333,35.51667
"Awl Site midden",10509,16137,960,-116.63333,35.51667
"Awl Site midden",10509,16138,960,-116.63333,35.51667
"Awl Site midden",10509,16139,960,-116.63333,35.51667
"Langdale Pond",1568,1614,58,-83.195,30.64167
"Awl Site midden",10509,16140,960,-116.63333,35.51667
"Awl Site midden",10509,16141,960,-116.63333,35.51667
"Nelson Basin midden",10510,16142,1010,-116.73333,35.35
"Nelson Basin midden",10510,16143,1010,-116.73333,35.35
"Nelson Basin midden",10510,16144,1010,-116.73333,35.35
"Nelson Basin midden",10510,16145,1010,-116.73333,35.35
"Nelson Basin midden",10510,16146,1010,-116.73333,35.35
"Nelson Basin midden",10510,16147,1010,-116.73333,35.35
"Nelson Basin midden",10510,16148,1010,-116.73333,35.35
"Nelson Basin midden",10510,16149,1010,-116.73333,35.35
"Tourbière de Lanoraie STJEAN",1569,1615,20,-73.21694,46
"Nelson Basin midden",10510,16150,1010,-116.73333,35.35
"Nelson Basin midden",10510,16151,1010,-116.73333,35.35
"Nelson Basin midden",10510,16152,1010,-116.73333,35.35
"Nelson Basin midden",10510,16153,1010,-116.73333,35.35
"Nelson Basin midden",10510,16154,1010,-116.73333,35.35
"Nelson Basin midden",10510,16155,1010,-116.73333,35.35
"No Name East midden",10512,16158,1220,-116.56667,35.43333
"No Name East midden",10512,16159,1220,-116.56667,35.43333
"No Name East midden",10512,16160,1220,-116.56667,35.43333
"No Name East midden",10512,16161,1220,-116.56667,35.43333
"No Name East midden",10512,16162,1220,-116.56667,35.43333
"No Name East midden",10512,16163,1220,-116.56667,35.43333
"No Name West midden",10513,16164,1310,-116.56667,35.43333
"No Name West midden",10513,16165,1310,-116.56667,35.43333
"No Name West midden",10513,16166,1310,-116.56667,35.43333
"No Name West midden",10513,16167,1310,-116.56667,35.43333
"No Name West midden",10513,16168,1310,-116.56667,35.43333
"No Name West midden",10513,16169,1310,-116.56667,35.43333
"Lateral Pond",1571,1617,470,-135.51417,65.94222
"No Name West midden",10513,16170,1310,-116.56667,35.43333
"No Name West midden",10513,16171,1310,-116.56667,35.43333
"Diamond Valley",10514,16172,488,-117.006,33.6726
"Diamond Valley",10514,16173,488,-117.006,33.6726
"Binnewater Pond",10515,16174,256,-74.55597,41.4059
"Binnewater Pond",10515,16175,256,-74.55597,41.4059
"Hyde Park",10516,16176,74,-73.9413,41.7733
"Hyde Park",10516,16177,74,-73.9413,41.7733
"Otisville",10517,16178,230,-74.5326,41.4656
"Otisville",10517,16179,230,-74.5326,41.4656
"LB02",1572,1618,180,-75.605,57.89333
"Pawelski Farm",10518,16180,122,-74.4441,41.3221
"Pawelski Farm",10518,16181,122,-74.4441,41.3221
"Benicia State Park",10519,16182,0,-122.19694,38.07028
"Benicia State Park",10519,16184,0,-122.19694,38.07028
"China Camp",10520,16185,0,-122.49639,38.00611
"China Camp",10520,16186,0,-122.49639,38.00611
"Rice Lake",10521,16187,NA,-78.32909,44.08857
"Rice Lake",10521,16188,NA,-78.32909,44.08857
"Rice Lake",10521,16189,NA,-78.32909,44.08857
"Little Bayou Sara Site 1B",1573,1619,40,-91.44278,30.92583
"Rice Lake",10521,16190,NA,-78.32909,44.08857
"Rice Lake",10521,16191,NA,-78.32909,44.08857
"Rice Lake",10521,16192,NA,-78.32909,44.08857
"Rice Lake",10521,16193,NA,-78.32909,44.08857
"Mountain Lake",10522,16196,37,-122.472,37.78734
"Mountain Lake",10522,16197,37,-122.472,37.78734
"Site 92 (Swain unpublished)",162,162,525,-74.45,43.98
"Little Bayou Sara Site 4J",1574,1620,49,-91.48083,30.96167
"Leading Tickles",1576,1622,105,-55.47306,49.47139
"Black Mountain Lake",10531,16220,3413,-107.23672,37.84571
"Black Mountain Lake",10531,16222,3413,-107.23672,37.84571
"Sky Pond",10532,16223,3320,-105.67115,40.2766
"Sky Pond",10532,16224,3320,-105.67115,40.2766
"Perch Lake",1823,16230,160,-77.34,46.03
"Perch Lake",1823,16231,160,-77.34,46.03
"Red Green Lake",10537,16235,668,-149.68333,68.65359
"Red Green Lake",10537,16236,668,-149.68333,68.65359
"Tukuto Lake",10538,16237,505,-157.0576,68.4891
"Tukuto Lake",10538,16238,505,-157.0576,68.4891
"Upper Capsule Lake",10539,16239,805,-149.42149,68.62889
"Upper Capsule Lake",10539,16241,805,-149.42149,68.62889
"Cahokia Mounds (Borrow Pit 5-3)",10540,16242,126,-90.0699,38.6534
"Cahokia Mounds (Borrow Pit 5-1)",10541,16243,128,-90.0699,38.6534
"Cahokia Mounds (Borrow Pit 5-1)",10541,16244,128,-90.0699,38.6534
"Gilmore Lakes",10542,16245,197,-90.15262,38.4183
"Gilmore Lakes",10542,16246,197,-90.15262,38.4183
"Gilmore Lakes",10542,16247,197,-90.15262,38.4183
"Gilmore Lakes",10542,16248,197,-90.15262,38.4183
"Horseshoe Lake",8585,16249,27,-90.09503,38.7018
"Lac à Léonard",1579,1625,17,-65.81278,49.20778
"Horseshoe Lake",8585,16251,27,-90.09503,38.7018
"Horseshoe Lake",8585,16252,27,-90.09503,38.7018
"Horseshoe Lake",8585,16254,27,-90.09503,38.7018
"McDonough Lake",10543,16255,126,-90.0233,38.70242
"McGinnis Lake",10544,16256,255,-78.0425,44.60586
"McGinnis Lake",10544,16257,255,-78.0425,44.60586
"Lac à Léonard",1579,1626,17,-65.81278,49.20778
"Dugas Bay Bog",10548,16263,202,-79.38704,46.29812
"Dugas Bay Bog",10548,16264,202,-79.38704,46.29812
"Glenora Bay",10549,16265,74,-77.14,44.0075
"Kilbride Swamp",10550,16266,265,-79.91778,43.46306
"Kilbride Swamp",10550,16267,265,-79.91778,43.46306
"Mark Pond",10551,16268,348,-89.61722,51.83861
"Mark Pond",10551,16269,348,-89.61722,51.83861
"Preston Lake",10552,16270,320,-79.38661,43.98306
"Preston Lake",10552,16271,320,-79.38661,43.98306
"Rife Swamp",10553,16272,277,-79.99056,43.46417
"Rife Swamp",10553,16273,277,-79.99056,43.46417
"Round Pond",10554,16274,358,-91.37583,52.52949
"Round Pond",10554,16275,358,-91.37583,52.52949
"Wagner Lake",10555,16276,241,-79.13298,44.18444
"Webbs Lake",10556,16277,234,-78.10417,44.16583
"Webbs Lake",10556,16278,234,-78.10417,44.16583
"Lewis Lake",1582,1629,295,-93.36417,45.74944
"Site 93 (Swain unpublished)",163,163,504,-74.25,44.45
"Lily Lake",1585,1632,230,-135.4,59.2
"Lily Lake",1586,1633,258,-92.82755,45.04603
"Lily Lake",1587,1634,2469,-110.31667,43.76667
"Lily Lake",1587,1635,2469,-110.31667,43.76667
"Lily Lake Fen",1588,1636,2469,-110.31667,43.76667
"Lily Lake Fen",1588,1637,2469,-110.31667,43.76667
"Little Bass Lake",1590,1639,391,-93.60713,47.28046
"Site 94 (Swain unpublished)",164,164,104,-73.72,43.23
"Little Lake",1591,1640,64,-66.71497,45.14255
"Little Lake",1592,1641,217,-123.58764,44.16387
"Little Lake",1592,1642,217,-123.58764,44.16387
"Little Pine Lake",1593,1643,330,-91.48333,45.28333
"LDDsite5772",1594,1644,206,-76.68306,44.8
"Lake Annie",1597,1648,34,-81.35466,27.20427
"Lake of the Clouds",1598,1649,462,-91.11546,48.13873
"Site 95 (Swain unpublished)",165,165,480,-74.42,44.32
"Lake Hope Simpson",1599,1650,295,-56.43333,52.45
"Little Lake",1600,1651,40,-63.93757,44.66762
"LM01",1601,1652,320,-74.58333,55.625
"LMBC",1602,1653,320,-74.6,55.61667
"Lockport Gulf Section",1604,1655,109,-78.71667,43.16667
"Lofty Lake",1605,1656,620,-112.48083,54.72528
"Lone Fox Lake",1606,1657,1100,-119.71667,56.71667
"Lonesome Lake",1607,1658,831,-71.70111,44.14
"Long Lake (CA:Nunavut)",1608,1659,259,-101.23333,62.63333
"Site 96 (Swain unpublished)",166,166,519,-74.05,43.43
"Long Lake",1609,1660,2727,-108.83333,36.00556
"Longswamp",1610,1661,192,-75.66667,40.48333
"Loon Pond",1611,1662,110,-68.2,45.03333
"Loon Pond",1611,1663,110,-68.2,45.03333
"Lost Lake",1613,1665,524,-87.97352,46.71878
"Lost Lake",1614,1666,1019,-110.49772,47.63305
"Lost P.",1615,1667,635,-71.25139,44.24694
"Sainte-Croix de Lotbinière",1616,1668,70,-71.775,46.60583
"Lake Louise",1617,1669,49,-83.25833,30.725
"Site 97 (Swain unpublished)",167,167,506,-74.25,43.78
"Louise Pond",1618,1670,650,-131.76501,52.94582
"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)",1619,1671,5,-80.41556,26.48111
"LR02",1622,1675,170,-75.255,58.585
"LT02",1623,1676,120,-74.91333,59.14
"LT03",1624,1677,117,-74.95,59.15833
"Site 98 (Swain unpublished)",168,168,535,-74.52,44.08
"Lynn Lake",1629,1684,340,-101.04194,56.84167
"Lake Mabel",1630,1685,315,-93.62008,44.35638
"Macon",1631,1686,189,-89.05889,39.68417
"Main-à-Dieu",1634,1689,30,-59.84583,45.975
"Site 99 (Swain unpublished)",169,169,299,-74.3,43.38
"Tourbière du lac Malbaie",1636,1691,818,-70.97639,47.59722
"Malcolm",1637,1692,503,-66.73333,54.76667
"Maligne Lake",1638,1693,1675,-117.61667,52.73333
"Mangrove Lake",1642,1697,0,-64.75,32.3
"Mansell Pond",1643,1698,58,-68.73333,45.04167
"Site 100 (Swain unpublished)",170,170,360,-73.7,43.92
"Stewart's Dark Lake",1645,1700,335,-91.45,45.3
"Maplehurst Lake",1646,1701,300,-80.65972,43.225
"Lac Marcotte",1647,1702,503,-71.42278,47.07778
"Lac Marcotte",1647,1703,503,-71.42278,47.07778
"M Lake",1648,1704,105,-133.46667,68.26667
"Marion Lake",1649,1705,305,-122.54722,49.30833
"Mariposa Lake",1651,1707,2730,-110.23333,44.15
"Martin Pond",1652,1708,472,-94.94493,47.17343
"Lac Martyne",1653,1709,365,-64.83333,56.78333
"Site 101 (Swain unpublished)",171,171,381,-71.17,44.8
"Mary Lake",1654,1710,306,-93.69444,44.45
"Mashapaug Pond",1656,1712,12,-71.43333,41.78333
"Dauphinais",1657,1713,405,-72.99,46.8
"Baie des Onze Iles",1658,1714,395,-73.13083,46.74694
"Wapizagonke",1659,1715,230,-73.03056,46.72639
"Sud du Lac du Noyer",1660,1716,270,-72.83778,46.78778
"Mayberry Well",1661,1717,2080,-108.3,33.7
"Mayflower Lake",1662,1718,50,-66.07083,45.30278
"McCarston's Lake",1663,1719,433,-80.09,45.05
"Site 102 (Swain unpublished)",172,172,389,-72.15,43.02
"McCraney Lake",1664,1720,446,-95.71632,47.166
"McDougall Pond",1665,1721,0,-60.56694,47
"McLaughlan Lake",1667,1723,196,-76.55417,45.36333
"McMaster Lake",1668,1724,480,-110.58333,64.13333
"McNearney Lake",1669,1725,264,-84.96469,46.42327
"Site 1 (Sheehan unpublished)",1670,1726,1036,-83.53,35.08
"Lovesick Lake",11557,17279,NA,-78.24444,44.54694
"Lovesick Lake",11557,17280,NA,-78.24444,44.54694
"Lovesick Lake",11557,17281,NA,-78.24444,44.54694
"Lovesick Lake",11557,17282,NA,-78.24444,44.54694
"Lovesick Lake",11557,17283,NA,-78.24444,44.54694
"Little Salt Spring",5192,17284,6,-82.23333,27.075
"Little Salt Spring",5192,17285,6,-82.23333,27.075
"Little Salt Spring",5192,17286,6,-82.23333,27.075
"Little Salt Spring",5192,17287,6,-82.23333,27.075
"Hestvatn",11558,17288,50,-20.75611,64.00083
"Hestvatn",11558,17289,50,-20.75611,64.00083
"Vestra Gislholtsvatn",11559,17290,58,-20.53333,63.93677
"Cycloid Lake",527,17291,369,-105.26667,55.26667
"Cycloid Lake",527,17292,369,-105.26667,55.26667
"Lake Cleveland",11560,17295,2519,-113.6522,42.3189
"Lake Cleveland",11560,17296,2519,-113.6522,42.3189
"Middle Butte Cave",3585,17297,1590,-112.61667,43.36667
"Middle Butte Cave",3585,17298,1590,-112.61667,43.36667
"Rattlesnake Cave",11561,17299,1596,-112.6309,43.5527
"Site 103 (Swain unpublished)",173,173,491,-72.28,44.7
"Rattlesnake Cave",11561,17300,1596,-112.6309,43.5527
"Capitola Lake",11563,17303,460,-89.5565,45.51884
"Capitola Lake",11563,17304,460,-89.5565,45.51884
"Idavain Lake",11571,17319,223,-156.00243,58.75139
"Medicine Lake",1676,1732,519,-97.36301,44.97734
"Idavain Lake",11571,17320,223,-156.00243,58.75139
"Snipe Lake",11572,17321,579,-154.32255,60.61082
"Snipe Lake",11572,17322,579,-154.32255,60.61082
"Imnavait Creek",11573,17323,875,-149.36063,68.66297
"Imnavait Creek",11573,17324,875,-149.36063,68.66297
"Oil Lake",11574,17325,745,-151.19194,70.28167
"Oil Lake",11574,17326,745,-151.19194,70.28167
"Sands of Time Lake",11575,17327,242,-147.5683,66.02227
"Sands of Time Lake",11575,17328,242,-147.5683,66.02227
"Lac Mélèze",1677,1733,650,-126.11667,65.21667
"Sithylemenkat Lake",11579,17337,213,-151.4267,66.11176
"Sithylemenkat Lake",11579,17338,213,-151.4267,66.11176
"St. Lawrence Section 2",11580,17339,0,-171.55972,63.66472
"St. Lawrence Section 2",11580,17340,0,-171.55972,63.66472
"North Killeak Lake",11583,17345,16,-164.093,66.34873
"St. Lawrence Island Section 3",11584,17346,0,-171.59,63.67278
"St. Lawrence Island Section 3",11584,17347,0,-171.59,63.67278
"Lake Mendota",1679,1735,257,-89.41667,43.1
"Windmill Lake",11585,17350,615,-148.8076,63.6582
"Windmill Lake",11585,17352,615,-148.8076,63.6582
"Blair Lakes",11586,17353,257,-147.39653,64.3443
"Blair Lakes",11586,17354,257,-147.39653,64.3443
"Circle Lake",11587,17355,419,-151.16,59.80001
"Clam Gulch",11588,17356,86,-151.3692,60.21872
"Clam Gulch",11588,17357,86,-151.3692,60.21872
"Eightmile Lake",11589,17358,648,-149.26043,63.88385
"Eightmile Lake",11589,17359,648,-149.26043,63.88385
"Grizzly Lake",11590,17360,720,-144.20405,62.70848
"Grizzly Lake",11590,17361,720,-144.20405,62.70848
"Panthertown Creek Bog",11591,17362,1119,-83.02511,35.16662
"Panthertown Creek Bog",11591,17363,1119,-83.02511,35.16662
"Kalifonsky Beach",11595,17372,18,-151.29144,60.47194
"Kalifonsky Beach",11595,17373,18,-151.29144,60.47194
"Homer Beach",11596,17374,10,-151.5197,59.6322
"Homer Beach",11596,17375,10,-151.5197,59.6322
