"sitename","siteid","datasetid","altitude","longitude","latitude","sitedescription","depositionalenvironment"
"Greenwood Pond",9741,14413,338,-96.20088,37.93724,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"New Konza Pond",9742,14414,392,-96.441615,38.948315,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Pott 1 Pond",9743,14415,346,-96.37635,39.316445,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Schwant Pond",9744,14416,410,-96.346745,39.473045,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Goode Pond",9745,14417,419,-96.5371,39.460005,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Hippie 1 Pond",9746,14418,477,-96.45788,38.10608,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Hippie 2 Pond",9747,14419,472,-96.480785,38.127245,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Byer Pond",9748,14420,367,-96.11764,39.373185,"Small stock pond. Upland vegetation: tall-grass prairie.","Stock Dam"
"Shin Bone Lake",9749,14421,445,-98.701195,47.860095,"shallow kettle lake","Kettle Lake"
"Horseshoe Lake",9750,14422,444,-98.783705,47.84686,"Lake in stagnation moraine.","Glacial Origin Lake"
"Spiritwood Lake",1222,14423,437,-98.5866,47.074695,NA,"Drift Filled Valley Lake"
"Conata Basin 1",9751,14424,759,-102.19478,43.743305,"Small stock dam in the Conata Basin in the Badlands. Natural vegetation is mixed grass prairie, but the site is surrounded by a very large prairie dog town, which has severely impacted the vegetation.","Stock Dam"
"Legion Lake",9752,14425,1527,-103.462515,43.76049,"Small recreational reservoir. Upland vegetation: Pinus ponderosa forest. Quercus macrocarpa and Betula papyrifera occur locally in riparian areas.","Reservoir"
"Chappice Lake",9753,14426,731,-110.363545,50.16549,"Glacial meltwater channel. Physiography: Buried bedrock valley with glacial deposit. Native vegetation: northern fescue grassland.","Glacial Meltwater Channel Lake"
"Eagle Lake",9754,14427,922,-113.32361,51,"Physiography: Gently rolling plain with till deposits. Native vegetation: northern fescue grassland.","Glacial Origin Lake"
"Bellshill Lake",9755,14428,662,-111.556055,52.60273,"Lake occupies a glaciofluvial channel. Upland vegetation: aspen parkland.","Glacial Meltwater Channel Lake"
"Gooseberry Lake",9756,14429,698,-110.73929,52.11802,"Lake lies near the southern margin of the Parkland Dunes. Vegetation: northern fescue grassland and aspen groves. Lake is saline.","Wind Origin Lake"
"Keiver's Lake",9757,14430,912,-113.55489,51.68784,"Physiography: Moraines, glacial landscape. Native vegetation: northern fescue grassland/aspen parkland.","Deflation Basin Lake"
"Little Fish Lake",9758,14431,903,-112.233625,51.377375,"Lake lies in the Hand Hills Upland, an isolated erosial remnant of pre-Wisconsin age. Lake occupies former glacial valley dammed by a moraine. Native vegetation: northern fescue grassland.","Glacial Origin Lake"
"Lloyd Lake [Red Deer Lake]",9759,14432,1133,-114.161275,50.87114,"Physiography: Moraines, glacial landscape. Native vegetation: aspen parkland.","Glacial Origin Lake"
"Red Deer Lake",9760,14433,775,-113.061665,52.723195,"Physiography: Moraines, glacial landscape. Native vegetation: aspen parkland.","Glacial Meltwater Channel Lake"
"Twelve Mile Coulee",9761,14434,790,-111.64238,50.206685,"Reservoir. Physiography: Gently rolling plain with till deposits. Native vegetation: northern fescue grassland.","Reservoir"
"Johnson Lake",9762,14435,364,-95.272065,45.44376,"Kettle lake on the Alexandria Moraine.","Kettle Lake"
"West Stump Lake",9763,14436,427,-98.432175,47.911675,"West Stump Lake and East Stump Lake lie in the overflow channel of Devils Lake. In the summer of 1999, Devil's lake began to spill out Jerusalem Coulee into Stump Lake, which resulted in a water level rise of 13 m and the merging of West and East Stump Lakes.","Glacial Meltwater Channel Lake"
"East Stump Lake",9764,14437,423,-98.357165,47.881285,"East Stump Lake and West Stump Lake lie in the overflow channel of Devils Lake. In the summer of 1999, Devil's lake began to spill out Jerusalem Coulee into Stump Lake, which resulted in a water level rise of 13 m and the merging of East and West Stump Lakes.","Glacial Meltwater Channel Lake"
"Coon Lake",9765,14438,443,-98.379385,47.973315,"Lake occupies glacial meltwater channel, which flowed into the Stump Lake basin.","Glacial Meltwater Channel Lake"
"Moon Lake",1711,14439,444,-98.15984,46.85592,"Kettle lake. Physiography: rolling end moraine. Native vegetaton: transition from tallgrass to mixed grass prairie. Heavily agricultural today.","Kettle Lake"
"Tower Lake",9738,14441,261,-86.037795,46.542635,"A small endorheic kettle pond on sandy glacial till. Surrounding second-growth forests are dominated by Acer saccharum, Betula alleghaniensis, Fagus grandifolia, Pinus strobus, and Tsuga canadensis, generally similar in composition to those before 19th century logging.","Kettle Lake"
"Tower Lake",9738,14443,261,-86.037795,46.542635,"A small endorheic kettle pond on sandy glacial till. Surrounding second-growth forests are dominated by Acer saccharum, Betula alleghaniensis, Fagus grandifolia, Pinus strobus, and Tsuga canadensis, generally similar in composition to those before 19th century logging.","Kettle Lake"
"Hazelden Lake",9767,14444,541,-97.44916,45.520265,"Glacial kettle lake on the Prairie Coteau.","Kettle Lake"
"Hell Hole Lake",9768,14445,298,-92.21898,45.786565,"Kettle lake on glacial outwash plain. Native vegetation: Pinus resinosa, P. banksiana, P. strobus, and Quercus spp.","Kettle Lake"
"Hell Hole Lake",9768,14446,298,-92.21898,45.786565,"Kettle lake on glacial outwash plain. Native vegetation: Pinus resinosa, P. banksiana, P. strobus, and Quercus spp.","Kettle Lake"
"Stink Lake",9769,14447,519,-97.404695,44.96723,"Kettle lake on the Prairie Coteau. Lake has expaned in area since the 1990s, merging with several other adjacent basins.","Kettle Lake"
"Alkali Lake",9770,14448,343,-97.38487,46.025635,"Kettle lake on stagnation moraine.","Kettle Lake"
"Horseshoe Lake",9771,14449,520,-97.327105,44.977035,"Kettle lake on the Prairie Coteau.","Kettle Lake"
"Keele Lake",1408,1445,1150,-127.61667,64.16667,"Lake dammed by Mountain River moraine. Physiography: Mackenzie Mountains. Surrounding vegetation: tundra/scattered Picea glauca.","Moraine Dammed Lake"
"Lake Norden",9772,14450,504,-97.19922,44.596305,"Glacial kettle lake on the Prairie Coteau.","Kettle Lake"
"Hamann Dam",9773,14451,820,-103.401185,46.52435,"Stock dam in a deep ravine on the eastern edge of the North Dakota badlands. Upland vegetation northern mixed grass prairie with Artemisia cana, A. frigida, and Krascheninnikovia lanata. Ravine has Fraxinus pennsylvanica, Shepherdia argentea, Juniperus scopulorum, J. horizontalis, and J. communis.","Stock Dam"
"Unnamed Stock Dam",9774,14452,835,-103.350905,46.59467,"Stock dam located in a shallow ravine in the North Dakota badlands. Upland vegetation: northern mixed grass prarie. Trees and shrubs in the ravine: Fraxinus pennsylvanica, Shepherdia argentea, Juniperus scopulorum, J. horizontalis. Pinus ponderosa stands ~8 km to the west. Aquatic vegetation: thick Myriophyllum.","Stock Dam"
"Lake Albert",8553,14453,502,-97.15475,44.53035,NA,"Kettle Lake"
"Lake Poinsett",9775,14454,503,-97.086055,44.56839,"Large kettle lake on the Prairie Coteau.","Kettle Lake"
"Lake Madison",9776,14455,488,-97.02606,43.95683,"Large kettle lake on the Prairie Coteau.","Kettle Lake"
"Kegan Lake",1409,1446,285,-93.11674,44.75836,"Kettle lake. Physiography: St. Croix (end) Moraine, rolling.","Kettle Lake"
"Unnamed Stock Dam",9782,14466,800,-102.75903,45.190535,"Small stock dam. Upland vegetation: Northern mixed grass prairie, heavily grazed, with abundant Artemisia cana and Opuntia fragilis. Grasses: Pascopyrum smithii, Bouteloua gracilis, Nassella viridula, and Schizachyrium scoparium. Dense stand of Eleocharis erythropoda along shoreline. No trees.","Stock Dam"
"Iron Hills Site 1",9783,14467,1743,-103.776005,44.07584,"Site is located along a small tributary of the North Fork of Castle Creek draining from Reynolds Prairie. The site has been mined for bog iron, which has exposed outcrops of iron cemented conglomerate. The stream is iron stained.","Pool"
"Iron Hills Site 2",9784,14468,1730,-103.76948,44.07596,"Site is located along a small tributary of the North Fork of Castle Creek draining from Reynolds Prairie. The site has been mined for bog iron, which has exposed sections of interbedded indurated ferricrete, uninduarated 'bog iron', and peat. The stream is iron stained.","Pool"
"Kellys Hollow",1410,1447,470,-90.35,45.3,"Wet-mesic woodland bog. Physiography: end moraine of Woodfordian drift. Surrounding vegetation: Acer/Betula/Picea/Pinus strobus.","Mire"
"Kellners Lake",1411,1448,261,-87.84806,44.23806,"Kettle lake. Physiography: Valders glacial drift. Surrounding vegetation: cultivated, conifer-hardwood forest.","Kettle Lake"
"Maitland Draw",9794,14487,1756,-103.79619,44.12,"Narrow gulch with small first order stream draining mined iron bogs. Beaver dams are ponding water, and Sphagnum is reclaiming some mined areas. Stream water and beaver dam sediments are iron stained, and iron oxide is precipitating in beaver dams and along the stream. Upland vegetation: Pinus ponderosa forest with Picea glauca on north facing slopes. Picea glauca also grows along the bottom of the draw, and in places Betula glandulosa forms thick stands in draw bottom.","Moss Polster"
"Maitland Draw",9794,14488,1756,-103.79619,44.12,"Narrow gulch with small first order stream draining mined iron bogs. Beaver dams are ponding water, and Sphagnum is reclaiming some mined areas. Stream water and beaver dam sediments are iron stained, and iron oxide is precipitating in beaver dams and along the stream. Upland vegetation: Pinus ponderosa forest with Picea glauca on north facing slopes. Picea glauca also grows along the bottom of the draw, and in places Betula glandulosa forms thick stands in draw bottom.","Beaver Dam"
"Browns Island",9795,14489,0,-121.86795,38.04217,"Browns Island is a 2.8 sq km tidal wetland located in the San Francisco Estuary at the confluence of the Sacramento and San Joaquin Rivers. Surrounding Vegetation: Schoenoplectus, Bolboschoenus, Distichlis spicata, Salicornia virginica, Juncus, Triglochin maritima.","Salt Marsh"
"Browns Island",9795,14490,0,-121.86795,38.04217,"Browns Island is a 2.8 sq km tidal wetland located in the San Francisco Estuary at the confluence of the Sacramento and San Joaquin Rivers. Surrounding Vegetation: Schoenoplectus, Bolboschoenus, Distichlis spicata, Salicornia virginica, Juncus, Triglochin maritima.","Salt Marsh"
"Browns Island",9795,14491,0,-121.86795,38.04217,"Browns Island is a 2.8 sq km tidal wetland located in the San Francisco Estuary at the confluence of the Sacramento and San Joaquin Rivers. Surrounding Vegetation: Schoenoplectus, Bolboschoenus, Distichlis spicata, Salicornia virginica, Juncus, Triglochin maritima.","Salt Marsh"
"Roe Island",9796,14492,0,-122.03373,38.07294,"Tidal marsh located on an island in the San Francisco Estuary. Surrounding vegetation: Distichlis spicata and Salicornia virginica.","Salt Marsh"
"Roe Island",9796,14493,0,-122.03373,38.07294,"Tidal marsh located on an island in the San Francisco Estuary. Surrounding vegetation: Distichlis spicata and Salicornia virginica.","Salt Marsh"
"Roe Island",9796,14494,0,-122.03373,38.07294,"Tidal marsh located on an island in the San Francisco Estuary. Surrounding vegetation: Distichlis spicata and Salicornia virginica.","Salt Marsh"
"Dog Lake",9798,14497,1183,-115.92977,50.780545,"Dog Lake is a glacial origin lake located in the Kootenay Valley. Surrounding vegetation: Mixed stands of Pinus contorta and Pseudotsuga menziesii grow on xeric sites, while Picea glauca, Populus tremuloides, and Betula papyrifera are found on mesic sites. Dog Lake represents the northernmost extent of Larix occidentalis in the Rocky Mountains.","Moraine Dammed Lake"
"Dog Lake",9798,14498,1183,-115.92977,50.780545,"Dog Lake is a glacial origin lake located in the Kootenay Valley. Surrounding vegetation: Mixed stands of Pinus contorta and Pseudotsuga menziesii grow on xeric sites, while Picea glauca, Populus tremuloides, and Betula papyrifera are found on mesic sites. Dog Lake represents the northernmost extent of Larix occidentalis in the Rocky Mountains.","Moraine Dammed Lake"
"Site 75 (Swain unpublished)",145,145,213,-76.08,41.27,NA,"Unknown"
"Kennys Pond",1413,1450,70,-52.71389,47.59028,"Kettle pond. Physiography: moraine. Surrounding vegetation: urban park (since 1960s).","Kettle Lake"
"Unnamed Stock Dam",9800,14501,780,-103.45219,46.584305,"Small stock dam. Upland vegetation: northern mixed grass prairie with Artemisia cana. Draw running into pond has Fraxinus pennsylvanica, Crataegus sp., and Shepherdia argentea. Juniperus horizontalis and J. scopulorum also occur within 100 m of pond. A stand of Pinus ponderosa covering several sq km lies ~200 m west of the pond. The shoreline is heavily trampled by cattle.","Stock Dam"
"Stockade Lake",9801,14502,1582,-103.519485,43.768935,"Reservoir surrounded by Pinus ponderosa forest.","Reservoir"
"Williams Lake",9803,14505,847,-103.89233,46.60269,"Stock dam. Upland vegetation: northern mixed grass prairie. No trees, a few Shepherdia argentea. Littoral zone of Schoenoplectus validus, scattered Typha latifolia. Abundant Myriophyllum.","Stock Dam"
"Lac Kénogami",1414,1451,166,-71.56694,48.36583,"Peat bog over a kettle lake. Physiography: fluvioglacial in a dissected plain. Surrounding vegetation: Aceri rubrae - Abietetum.","Bog"
"Alpine Pond",9814,14515,3200,-112.82446,37.63632,"Alpine Pond occupies a small basin formed during Holocene faulting along the edge of the 'Breaks'. Surrounding vegetation: Picea engelmannii-Abies lasiocarpa forest with Populus tremuloides. Juniperus communis and Ribes montigenum are understory shrub species.","Tectonic Origin Lake"
"Alpine Pond",9814,14516,3200,-112.82446,37.63632,"Alpine Pond occupies a small basin formed during Holocene faulting along the edge of the 'Breaks'. Surrounding vegetation: Picea engelmannii-Abies lasiocarpa forest with Populus tremuloides. Juniperus communis and Ribes montigenum are understory shrub species.","Tectonic Origin Lake"
"Alpine Pond",9814,14517,3200,-112.82446,37.63632,"Alpine Pond occupies a small basin formed during Holocene faulting along the edge of the 'Breaks'. Surrounding vegetation: Picea engelmannii-Abies lasiocarpa forest with Populus tremuloides. Juniperus communis and Ribes montigenum are understory shrub species.","Tectonic Origin Lake"
"Kenosee Lake",1415,1452,746,-102.3,49.81667,"Kettle lake. Physiography: dead ice moraine. Surrounding vegetation: Aspen forest.","Glacial Origin Lake"
"Marais de Keswick",1416,1453,221,-79.51278,44.19583,"Marginal marsh of Simcoe lake. Physiography: remnant of Algonquin proglacial lake. Surrounding vegetation: Tilio - Aceretum sacchari.","Marsh"
"Lily Lake",9824,14534,311,-93.63978,44.19291,NA,"Kettle Lake"
"Lily Lake",9824,14535,311,-93.63978,44.19291,NA,"Kettle Lake"
"Kelly-Dudley Lake",9825,14536,320,-93.365935,44.354435,NA,"Kettle Lake"
"Kelly-Dudley Lake",9825,14537,320,-93.365935,44.354435,NA,"Kettle Lake"
"Martha Lake",9826,14538,296,-93.73915,45.141805,NA,"Kettle Lake"
"Martha Lake",9826,14539,296,-93.73915,45.141805,NA,"Kettle Lake"
"Caribou Lake",1417,1454,167,-68.07,46.8,NA,"Lacustrine"
"Peach Lake",9829,14544,673,-101.31167,45.297245,"Upland vegetation: northern mixed grass prairie, wheat fields. A few Populus occidentalis and Salix amygladoides along lakeshore. A ring of Spartina pectinata several metres wide surrounds the lake.","Reservoir"
"Alpine Pond",9814,14547,3200,-112.82446,37.63632,"Alpine Pond occupies a small basin formed during Holocene faulting along the edge of the 'Breaks'. Surrounding vegetation: Picea engelmannii-Abies lasiocarpa forest with Populus tremuloides. Juniperus communis and Ribes montigenum are understory shrub species.","Tectonic Origin Lake"
"Lowder Creek Bog",9830,14548,3127,-112.792245,37.67214,"Fen sediments accumulated behind a well-developed Late Wisconsin moraine complex. Surrounding vegetation: Picea engelmannii - Abies lasiocarpa forest with Populus tremuloides. Members of the Cyperaceae family cover the bog surface. Dodecatheon pulchellum, Pedicularis groenlandica, and Gentiana are common.","Fen"
"Lowder Creek Bog",9830,14549,3127,-112.792245,37.67214,"Fen sediments accumulated behind a well-developed Late Wisconsin moraine complex. Surrounding vegetation: Picea engelmannii - Abies lasiocarpa forest with Populus tremuloides. Members of the Cyperaceae family cover the bog surface. Dodecatheon pulchellum, Pedicularis groenlandica, and Gentiana are common.","Fen"
"Matheson Pond",1418,1455,245,-68.35,46.38,NA,"Lacustrine"
"Squa Pan Pond",1419,1456,183,-68.33,46.55,NA,"Lacustrine"
"Rock Pond",1420,1457,203,-68.38,46.18,NA,"Lacustrine"
"Hay Lake",1421,1458,199,-68.721395,46.147155,NA,"Lacustrine"
"Lower LaPomkeag Lake",1422,1459,225,-68.62,46.37,NA,"Lacustrine"
"Site 76 (Swain unpublished)",146,146,335,-75.75,41.6,NA,"Unknown"
"Pratt Lake",1423,1460,286,-68.88,46.63,NA,"Lacustrine"
"Island Pond",1424,1461,379,-68.85,46.95,NA,"Lacustrine"
"Bates Marsh",9862,14613,175,-81.84467,42.342715,"The study site is located in the marsh surrounding Rondeau Provincial Park. Surrounding vegetation: The wetland vegetation at the study site is dominated by Cephalanthus occidentalis, Salix, Cornus, and Phragmites australis in the drier parts of the marsh. The most important emergent plants are Typha latifolia, T. angustifolia, T. x glauca, and Zizania aquatica, forming large monospecific stands. Aquatic Cyperaceae, Nuphar advena, and Nymphaea odorata are common in the marsh areas with deeper standing water. The major forest trees are Acer saccharum, Fagus grandifolia, Tilia americana, and Fraxinus americana on the ridges, and Acer rubrum, A. saccharinum, Betula alleghaniensis, Fraxinus nigra, and F. pennsylvanica in lower-lying wetter areas. The forest also supports important populations of regionally rare Carolinian tree species, including Carya ovata, Liriodendron tulipifera, and Morus rubra.","Marsh"
"Bates Marsh",9862,14614,175,-81.84467,42.342715,"The study site is located in the marsh surrounding Rondeau Provincial Park. Surrounding vegetation: The wetland vegetation at the study site is dominated by Cephalanthus occidentalis, Salix, Cornus, and Phragmites australis in the drier parts of the marsh. The most important emergent plants are Typha latifolia, T. angustifolia, T. x glauca, and Zizania aquatica, forming large monospecific stands. Aquatic Cyperaceae, Nuphar advena, and Nymphaea odorata are common in the marsh areas with deeper standing water. The major forest trees are Acer saccharum, Fagus grandifolia, Tilia americana, and Fraxinus americana on the ridges, and Acer rubrum, A. saccharinum, Betula alleghaniensis, Fraxinus nigra, and F. pennsylvanica in lower-lying wetter areas. The forest also supports important populations of regionally rare Carolinian tree species, including Carya ovata, Liriodendron tulipifera, and Morus rubra.","Marsh"
"Pennington Pond",1425,1462,276,-68.53,46.93,NA,"Lacustrine"
"Big Reed Pond Hollow",9866,14623,370,-69.0517,46.35065,"Wet, mossy, forested swale. Physiography: humified peat over rock/till. Surrounding vegetation: Picea rubens, Thuja, Betula, Sphagnum, Carex.","Small Hollow Fen"
"Big Reed Pond Hollow",9866,14624,370,-69.0517,46.35065,"Wet, mossy, forested swale. Physiography: humified peat over rock/till. Surrounding vegetation: Picea rubens, Thuja, Betula, Sphagnum, Carex.","Small Hollow Fen"
"Minnreg",9867,14625,297,-93.3212,44.693385,NA,"Kettle Lake"
"Minnreg",9867,14626,297,-93.3212,44.693385,NA,"Kettle Lake"
"Brishlatte Lake",1426,1463,188,-68.32,47.28,NA,"Lacustrine"
"Amber Lake",9869,14630,351,-94.473645,43.60715,"Lake is one of several in a chain of lakes occupying a former glacial meltwater channel or tunnel valley.","Glacial Meltwater Channel Lake"
"Amber Lake",9869,14631,351,-94.473645,43.60715,"Lake is one of several in a chain of lakes occupying a former glacial meltwater channel or tunnel valley.","Glacial Meltwater Channel Lake"
"Camp Lake",9870,14632,315,-94.0929,45.16204,NA,"Glacial Origin Lake"
"Camp Lake",9870,14633,315,-94.0929,45.16204,NA,"Glacial Origin Lake"
"Crystal Lake",9871,14634,351,-93.212125,44.333485,NA,"Glacial Origin Lake"
"Crystal Lake",9871,14635,351,-93.212125,44.333485,NA,"Glacial Origin Lake"
"Fish Lake",9872,14636,312,-93.665425,44.229535,NA,"Glacial Origin Lake"
"Fish Lake",9872,14637,312,-93.665425,44.229535,NA,"Glacial Origin Lake"
"Fish Lake (Sc)",9873,14638,288,-93.46048,44.65102,NA,"Glacial Origin Lake"
"Fish Lake (Sc)",9873,14639,288,-93.46048,44.65102,NA,"Glacial Origin Lake"
"Wiley Pond",1427,1464,253,-68.63,46,NA,"Lacustrine"
"Eagle Lake",9874,14640,296,-93.93439,44.808755,NA,"Glacial Origin Lake"
"Eagle Lake",9874,14641,296,-93.93439,44.808755,NA,"Glacial Origin Lake"
"Lake Emily, Northeast Basin",9875,14642,296,-93.914375,44.313795,"Core obtained from a side basin in Lake Emily.","Glacial Origin Lake"
"Lake Emily, Northeast Basin",9875,14643,296,-93.914375,44.313795,"Core obtained from a side basin in Lake Emily.","Glacial Origin Lake"
"Fuller Lake",9876,14644,290,-94.075455,45.421695,NA,"Glacial Origin Lake"
"Fuller Lake",9876,14645,290,-94.075455,45.421695,NA,"Glacial Origin Lake"
"San Luis Lake",9878,14649,2293,-105.724665,37.67773,"Playa lake subject to drying out. Aeolian landscape with blowout depressions, parabolic dunes, and alkaline flats. Upland vegetation: saline bottom land shrublands, cold desert shrublands, and salt meadows, with Sarcobatus, Salsola, Atriplex, Sueda, Artemisia, and Poaceae.","Fluvial Origin Lake"
"Plunkett Pond",1428,1465,136,-68.37,45.8,NA,"Lacustrine"
"San Luis Lake",9878,14650,2293,-105.724665,37.67773,"Playa lake subject to drying out. Aeolian landscape with blowout depressions, parabolic dunes, and alkaline flats. Upland vegetation: saline bottom land shrublands, cold desert shrublands, and salt meadows, with Sarcobatus, Salsola, Atriplex, Sueda, Artemisia, and Poaceae.","Fluvial Origin Lake"
"Northeast Shark River Slough",6505,14651,1,-80.58386,25.74642,"Cladium ridge in Northeast Shark River Slough in the Everglades.","Marsh"
"Wytopitlock Lake",1429,1466,157,-68.15,45.78,NA,"Lacustrine"
"Mud Pond",1430,1467,96,-68.13,45.55,NA,"Lacustrine"
"Blackwoods Hollow",9889,14673,30,-68.22364,44.313195,"Mossy depression near the coast on Mt. Desert Island. Physiography: humified peat overlying till/rock. Surrounding vegetation: Picea rubens, Sphagnum carpet, Carex.","Small Hollow"
"Blackwoods Hollow",9889,14674,30,-68.22364,44.313195,"Mossy depression near the coast on Mt. Desert Island. Physiography: humified peat overlying till/rock. Surrounding vegetation: Picea rubens, Sphagnum carpet, Carex.","Small Hollow"
"Buckley Pond Hollow",9890,14675,360,-69.049415,46.334815,"1×2 m wet pool between moss hummockis in a stony are of low ground ~130 east of the NE shore of Buckley Pond. Surrounding vegetation: multi-age stand of Picea, Abies, Betula alleghaniensis, Thuja, and Fraxinus.","Small Hollow"
"Buckley Pond Hollow",9890,14676,360,-69.049415,46.334815,"1×2 m wet pool between moss hummockis in a stony are of low ground ~130 east of the NE shore of Buckley Pond. Surrounding vegetation: multi-age stand of Picea, Abies, Betula alleghaniensis, Thuja, and Fraxinus.","Small Hollow"
"Isle au Haut North Hollow",9891,14677,75,-68.6354,44.0651,"Small hollow on the north end of Isle au Haut, a flat, mossy hillside seep approximately 5×15 m on a northwest facing slope. Mixed age stand of Picea rubens with scatered Betula, Acer rubrum, and Picea glauca. Understory of Vaccinium angustifolium, Carex, and Sphagnum.","Small Hollow"
"Isle au Haut North Hollow",9891,14678,75,-68.6354,44.0651,"Small hollow on the north end of Isle au Haut, a flat, mossy hillside seep approximately 5×15 m on a northwest facing slope. Mixed age stand of Picea rubens with scatered Betula, Acer rubrum, and Picea glauca. Understory of Vaccinium angustifolium, Carex, and Sphagnum.","Small Hollow"
"Isle au Haut South Hollow",9892,14679,65,-68.630365,44.031825,"Small mossy depression about 1 m in diameter on a southeast facing shoulder of the ridge, Surrounding vegetation witin 50 m Picea rubens forest, with a stand of Pinus rigida and Vaccinium 35 m to the east. Acer rubrum subdominant in the canopy with scattered Picea glauca and Abies balsamea.","Small Hollow"
"Duck Lake (US:Maine)",1431,1468,91,-68.05,45.35,NA,"Lacustrine"
"Isle au Haut South Hollow",9892,14680,65,-68.630365,44.031825,"Small mossy depression about 1 m in diameter on a southeast facing shoulder of the ridge, Surrounding vegetation witin 50 m Picea rubens forest, with a stand of Pinus rigida and Vaccinium 35 m to the east. Acer rubrum subdominant in the canopy with scattered Picea glauca and Abies balsamea.","Small Hollow"
"Roque Island Hollow",9893,14681,20,-67.530695,44.573075,"Small hollow with Sphagnum carpet, located on Roque Island in a stand of Picea rubens with occasional Betula papyrifera, Acer rubrum, Ostrya virginiana, and Sorbus americana, with Alnus and Chamaedaphne calyculata in the understory.","Small Hollow"
"Roque Island Hollow",9893,14682,20,-67.530695,44.573075,"Small hollow with Sphagnum carpet, located on Roque Island in a stand of Picea rubens with occasional Betula papyrifera, Acer rubrum, Ostrya virginiana, and Sorbus americana, with Alnus and Chamaedaphne calyculata in the understory.","Small Hollow"
"Schoodic Peninsula Hollow",9894,14683,10,-68.0726,44.37328,"Forested, mossy swale located on the Schoodic Peninusla. Carpeted with Sphagnum and scattered sedges and ferns. Picea rubens and Thuja occidentalis dominate the canopy. Betula alleghaniensis, B. papyrifera, Acer rubrum, and Abies balsamea are present. Understory open with scattered Viburnum, Vaccinium, and Prunus.","Small Hollow"
"Schoodic Peninsula Hollow",9894,14684,10,-68.0726,44.37328,"Forested, mossy swale located on the Schoodic Peninusla. Carpeted with Sphagnum and scattered sedges and ferns. Picea rubens and Thuja occidentalis dominate the canopy. Betula alleghaniensis, B. papyrifera, Acer rubrum, and Abies balsamea are present. Understory open with scattered Viburnum, Vaccinium, and Prunus.","Small Hollow"
"Longfellow Lake",1432,1469,142,-67.87,45.77,NA,"Lacustrine"
"Site 77 (Swain unpublished)",147,147,610,-75.53,41.78,NA,"Unknown"
"East Musquash Lake",1433,1470,113,-67.8,45.4,NA,"Lacustrine"
"Big Lake (US:Maine)",1434,1471,62,-67.63,45.2,NA,"Lacustrine"
"Hunter Pond",1435,1472,146,-67.92,46,NA,"Lacustrine"
"Blue Bell Lake",1436,1473,244,-67.53,46.95,NA,"Lacustrine"
"Blind Lake (CA:New Brunswick)",1437,1474,396,-66.03,47.03,NA,"Lacustrine"
"Quisibis Lake",1438,1475,160,-67.98,47.28,NA,"Lacustrine"
"Tomlinson Lake",1439,1476,237,-67.77,46.72,NA,"Lacustrine"
"Conroy Lake",491,14766,137,-67.88333,46.28333,"Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus.","Kettle Lake"
"Conroy Lake",491,14767,137,-67.88333,46.28333,"Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus.","Kettle Lake"
"Conroy Lake",491,14768,137,-67.88333,46.28333,"Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus.","Kettle Lake"
"Moose Mountain Lake",1440,1477,152,-67.63,46.58,NA,"Lacustrine"
"Napadogan Lake",1441,1478,274,-66.95,46.42,NA,"Lacustrine"
"Taffy Lake",1442,1479,152,-67.17,46.18,NA,"Lacustrine"
"Yahoo Lake",9942,14790,709,-124.018585,47.676915,"Yahoo Lake was formed by a small cirque glacier. Surrounding vegetation: The lake is located within the Pacific Silver Fir forest zone. North facing slopes are dominated by Abies amabilis and Tsuga heterophylla, while Thuja plicata is limited to flat areas or south aspects. The lake is near the upper elevation limits of Tsuga heterophylla and Thuja plicata.","Cirque Lake"
"Yahoo Lake",9942,14791,709,-124.018585,47.676915,"Yahoo Lake was formed by a small cirque glacier. Surrounding vegetation: The lake is located within the Pacific Silver Fir forest zone. North facing slopes are dominated by Abies amabilis and Tsuga heterophylla, while Thuja plicata is limited to flat areas or south aspects. The lake is near the upper elevation limits of Tsuga heterophylla and Thuja plicata.","Cirque Lake"
"Yahoo Lake",9942,14792,709,-124.018585,47.676915,"Yahoo Lake was formed by a small cirque glacier. Surrounding vegetation: The lake is located within the Pacific Silver Fir forest zone. North facing slopes are dominated by Abies amabilis and Tsuga heterophylla, while Thuja plicata is limited to flat areas or south aspects. The lake is near the upper elevation limits of Tsuga heterophylla and Thuja plicata.","Cirque Lake"
"Two Frog Lake",9943,14793,4,-127.534035,51.106595,"Two Frog Lake is a small single basin unstratified freshwater lake. It is located in the Seymour-Belize Inlet Complex, situated in the central coastal mainland of British Columbia. Surrounding vegetation: The vegetation in this region is dominated by Tsuga heterophylla and Tsuga plicata.","Glaciomarine"
